REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2022-09-30,HERITAGE INVESTORS MANAGEMENT CORP,114882,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"112,292","48,231","27,502","20,729","42,242","5,433","16,386","336,309","224,017","40,335",0,0,0,"131,077",0,"52,605","129,873","48,343","24,991",0,"7,728","48,811","278,202","148,329","94,700",0,0,0,"53,629","58,107",0,"58,107","5,289","-9,297","62,115",0,0,"336,309","336,309","151,806","119,691","92,189","19,442","22,892","2,805","1,668","2,243",-41,"-3,225","3,165",-16,"-4,358","-2,016",0,"4,234","-2,102",-2,"-8,191","15,144",-617,"-27,445",971,0,"-21,865","-3,811","-2,740",0,-319,"29,180","28,861","20,790","22,892","-2,102","82,959","47,074","35,885","12,809","6,797","6,012",0,"23,076",3,722,719,-13,"23,066","3,624",0,"19,442","2,805","25,881",1.2,1.2,"16,163","16,262"
2022-12-31,HERITAGE INVESTORS MANAGEMENT CORP,108392,2022-12-01,109.0,6.5,3.4,55.723,48.0,3.6,3.8748,2022(Q4),"135,405","48,304","23,646","24,658","60,932","4,946","21,223","352,755","217,350","42,117",0,0,0,"120,805","15,375","39,053","153,982","64,115","22,773",0,"7,912","59,182","302,083","148,101","109,707",0,0,"12,411","25,983","50,672",0,"50,672","-3,068","-11,109","64,849",0,0,"352,755","352,755","145,463","132,480","108,834","20,721","24,127","2,865","-1,861","2,278",172,-48,"-18,693",435,"15,556","2,654",0,"-1,217","-3,289",-137,"-6,745","9,551",-597,"-26,794","1,657",0,"-24,428","-3,703",-320,0,"-3,884","28,861","24,977","20,838","24,127","-3,289","90,146","52,051","38,095","13,201","6,761","6,440",0,"24,894",-74,753,827,-163,"24,657","3,936",0,"20,721","2,865","27,759",1.29,1.29,"16,030","16,118"
2023-03-31,HERITAGE INVESTORS MANAGEMENT CORP,136866,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"128,777","51,355","20,535","30,820","54,180","6,820","16,422","346,747","217,970","42,951",0,0,0,"114,095",0,"60,924","137,286","57,918","11,483",0,"7,992","59,893","290,020","152,734","99,627",0,0,0,"53,107","56,727",0,"56,727","3,240","-12,912","66,399",0,0,"346,747","346,747","144,915","111,110","90,575","29,998","34,005","2,916",0,"2,905",-317,"-1,497","6,595","-1,807","-6,075",-210,0,"-1,445","-3,787",0,"-5,153","7,636",-141,"-35,563","-9,615",0,"-19,475","-3,768","-2,705",0,"-3,003","24,977","21,974","30,218","34,005","-3,787","117,154","66,822","50,332","14,316","7,709","6,607",0,"36,016",-135,868,"1,003",-258,"35,623","5,625",0,"29,998","2,916","38,932",1.89,1.88,"15,893","15,956"
2023-06-30,HERITAGE INVESTORS MANAGEMENT CORP,154211,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"112,913","55,872","24,687","31,185","35,899","7,482","13,660","332,160","219,247","43,398",0,0,0,"110,461",0,"65,388","120,075","42,945","12,574",0,"8,131","56,425","270,002","149,927","97,041",0,0,0,"52,886","62,158",0,"62,158","4,336","-11,746","69,568",0,0,"332,160","332,160","141,646","109,615","84,928","24,160","28,560","2,898",0,"2,686","-1,415",231,"17,786",-741,"-14,689","-2,125",0,"2,319","-2,916",0,"-6,044","11,385",-106,"-25,724","-1,996",0,"-19,594","-3,650",-484,0,"5,155","21,974","27,129","25,644","28,560","-2,916","94,836","52,860","41,976","13,658","7,457","6,201",0,"28,318",-12,918,930,76,"28,382","4,222",0,"24,160","2,898","31,216",1.53,1.52,"15,787","15,847"
2023-09-30,HERITAGE INVESTORS MANAGEMENT CORP,132982,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"122,659","62,482","28,408","34,074","39,186","7,351","13,640","335,038","212,379","43,550",0,0,0,"104,061",0,"64,768","124,963","46,699","11,209",0,"8,158","58,897","274,764","149,801","98,071",0,0,0,"51,730","60,274",0,"60,274","1,408","-11,801","70,667",0,0,"335,038","335,038","138,135","109,280","80,872","19,881","26,380","3,052",0,"2,617",81,749,"-3,661",-22,"3,974",458,0,437,"-2,093",0,"-9,759","12,795",-506,"-24,048",-283,0,"-17,478","-3,849","-2,438",0,"2,769","27,129","29,898","24,287","26,380","-2,093","81,797","45,384","36,413","13,415","7,442","5,973",0,"22,998",-18,980,998,-247,"22,733","2,852",0,"19,881","3,052","26,050",1.27,1.26,"15,698","15,775"
2023-12-31,HERITAGE INVESTORS MANAGEMENT CORP,146888,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"143,566","61,555","29,965","31,590","60,985","6,331","14,695","352,583","209,017","54,376",0,0,0,"100,544","17,852","36,245","145,308","62,611","17,382","8,819","8,061","48,435","290,437","145,129","106,548",0,0,"12,842","25,739","62,146",0,"62,146",-214,"-11,452","73,812",0,0,"352,583","352,583","132,134","123,930","93,965","22,956","21,598","2,653",0,"2,625",-576,"-6,060","-21,137",952,"14,901",-776,0,"2,394","-2,163",0,"-8,557","13,698",-584,"-23,153","1,993",0,"-21,003","-3,758",-385,0,839,"29,898","30,737","19,435","21,598","-2,163","89,498","49,071","40,427","13,458","7,307","6,151",0,"26,969",-18,984,"1,002",47,"26,998","4,042",0,"22,956","2,653","29,622",1.47,1.46,"15,599","15,672"
2024-03-31,HERITAGE INVESTORS MANAGEMENT CORP,130193,2024-03-01,103.1,3.5,1.6,-42.173,49.8,3.8,4.2003,2024(Q1),"143,692","73,100","40,760","32,340","50,102","6,511","13,979","353,514","209,822","43,666",0,0,0,"99,475",0,"66,681","133,973","58,146","12,952",0,"8,264","54,611","279,414","145,441","95,088",0,0,0,"50,353","74,100",0,"74,100","8,242","-9,378","75,236",0,0,"353,514","353,514","131,815","108,040","67,280","33,916","39,895","2,848",0,"2,997",-989,"1,123","11,124",-137,"-4,542","-5,322",0,"1,927","-2,392",0,"-9,780","14,383",-284,"-30,585","-3,984",0,"-20,139","-3,825","-2,637",0,"11,237","30,737","41,974","37,503","39,895","-2,392","119,575","64,720","54,855","14,482","7,696","6,786",0,"40,373",0,0,0,-50,"40,323","6,407",0,"33,916","2,848","43,221",2.19,2.18,"15,510","15,577"
2024-06-30,HERITAGE INVESTORS MANAGEMENT CORP,156907,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"128,416","67,150","32,695","34,455","41,150","6,232","13,884","337,411","208,995","43,546",0,0,0,"95,187",0,"70,262","123,822","45,753","12,759",0,"8,012","57,298","263,217","139,395","91,831",0,0,0,"47,564","74,194",0,"74,194","4,339","-8,960","78,815",0,0,"337,411","337,411","129,642","104,590","71,895","23,636","22,690","2,836",0,"2,964",-982,"-5,764","8,767",190,"-12,168","-2,553",0,-310,"-1,996",0,"-15,262","17,393",-445,"-30,433","-3,148",0,"-23,205","-3,710",-370,0,"-8,053","41,974","33,921","20,694","22,690","-1,996","90,753","48,482","42,271","14,371","7,903","6,468",0,"27,900",0,0,0,158,"28,058","4,422",0,"23,636","2,836","30,736",1.53,1.53,"15,406","15,465"
2024-09-30,HERITAGE INVESTORS MANAGEMENT CORP,170505,2024-09-01,99.2,2.4,3.1,13.779,47.5,4.2,3.7809,2024(Q3),"125,435","61,801","25,565","36,236","43,172","6,165","14,297","331,612","206,177","44,502",0,0,0,"91,240",0,"70,435","131,624","47,574","15,108",0,"8,053","60,889","264,904","133,280","86,196",0,0,0,"47,084","66,708",0,"66,708","-4,726","-8,416","79,850",0,0,"331,612","331,612","127,476","101,304","75,739","21,448","28,858","2,850",0,"2,869",7,"1,684","-2,094",-12,"1,539","2,251",0,-127,"-2,151",0,"-13,032","15,444",-388,"-36,017","-3,253",0,"-26,522","-3,895","-2,347",0,"-7,286","33,921","26,635","26,707","28,858","-2,151","85,777","46,099","39,678","14,326","8,006","6,320",0,"25,352",0,0,0,142,"25,494","4,046",0,"21,448","2,850","28,202",1.4,1.4,"15,288","15,348"
2024-12-31,HERITAGE INVESTORS MANAGEMENT CORP,184332,2024-12-01,109.5,2.9,2.4,32.529,49.2,4.2,4.569,2024(Q4),"152,987","65,171","29,943","35,228","66,243","7,286","14,287","364,980","211,993","45,680",0,0,0,"91,479","19,499","55,335","176,392","68,960","22,511","26,601","8,249","50,071","308,030","131,638","96,548",0,0,"12,430","22,660","56,950",0,"56,950","-19,154","-7,172","83,276",0,0,"364,980","364,980","126,707","119,059","89,116","14,736","26,811","2,911",0,"2,858",-302,"6,608","-22,941","-1,087","21,191","9,445",0,"1,445","-2,908",0,"-10,582","15,126",-191,"-24,948","4,387",0,"-25,083","-3,804",-448,0,"3,308","26,635","29,943","23,903","26,811","-2,908","94,930","51,051","43,879","14,288","7,765","6,523",0,"29,591",0,0,0,19,"29,610","14,874",0,"14,736","2,911","32,502",0.97,0.97,"15,172","15,243"
